characteristic,bin,count,count_pct,event_rate,woe,coefficient,points
avg_cur_bal,"[5280.50, 8660.50)",21300,0.11570176105685138,0.13849765258215962,-0.05629607220018151,-0.386350277770303,45
avg_cur_bal,"[8660.50, 13094.50)",18036,0.09797168837659022,0.12802173430915945,0.03444397378719777,-0.386350277770303,46
avg_cur_bal,"[13094.50, 18740.50)",18689,0.10151878931415473,0.11290063673818825,0.17732841042032055,-0.386350277770303,47
avg_cur_bal,"[18740.50, 27424.50)",19387,0.10531033059198018,0.09975756950533862,0.3158006802625648,-0.386350277770303,49
avg_cur_bal,"[27424.50, 40308.00)",13610,0.07392962291003509,0.0849375459221161,0.4929556098510419,-0.386350277770303,51
avg_cur_bal,"[40308.00, inf)",9894,0.053744282812041674,0.0663028097837073,0.7607994256974293,-0.386350277770303,54
avg_cur_bal,Missing,5,2.7160037806772626e-05,0.4,-1.478655368240868,-0.386350277770303,29
dti,"(-inf, 10.66)",40981,0.2226091018718698,0.10158366072082184,0.2956304114624997,-0.7282143967533167,51
dti,"[10.66, 14.68)",32998,0.17924538550957664,0.11191587368931451,0.1871985377089338,-0.7282143967533167,49
dti,"[14.68, 15.77)",9297,0.05050137429791302,0.12014628374744542,0.10692515417855941,-0.7282143967533167,47
dti,"[15.77, 19.34)",29292,0.15911436548719676,0.12836269288542948,0.031393133642975135,-0.7282143967533167,46
dti,"[19.34, 21.39)",15277,0.08298477951481309,0.14171630555737383,-0.08301299636195703,-0.7282143967533167,43
dti,"[21.39, 25.39)",24566,0.13344269775223527,0.15366767076447121,-0.1780006582887692,-0.7282143967533167,41
dti,"[25.39, 29.18)",17160,0.09321324975284366,0.16987179487179488,-0.2975843282016166,-0.7282143967533167,39
dti,"[29.18, inf)",14523,0.07888904581355177,0.18570543276182608,-0.4059600231079872,-0.7282143967533167,37
mort_acc,"(-inf, 0.50)",77969,0.423528197551251,0.15931972963613744,-0.22082212791414624,-0.09211898447577366,45
mort_acc,"[0.50, 1.50)",29490,0.16018990298434496,0.12845032214309934,0.030610158212085237,-0.09211898447577366,45
mort_acc,"[1.50, 2.50)",24299,0.1319923517333536,0.11449030824313758,0.16155275052103057,-0.09211898447577366,46
mort_acc,"[2.50, 3.50)",18459,0.10026942757504319,0.10542282897231703,0.2542514893680057,-0.09211898447577366,46
mort_acc,"[3.50, 4.50)",13576,0.07374493465294904,0.10378609310548026,0.2717266595397363,-0.09211898447577366,46
mort_acc,"[4.50, inf)",20301,0.11027518550305822,0.09546327767105069,0.3645607807194353,-0.09211898447577366,46
home_ownership,['ANY' 'MORTGAGE'],88535,0.4809227894445229,0.10835262890382334,0.22355926342691346,-0.2244807102621006,47
home_ownership,['OWN'],17671,0.09598900561669582,0.14056929432403373,-0.073550841672132,-0.2244807102621006,45
home_ownership,['RENT'],77888,0.4230882049387813,0.1567378800328677,-0.20141748574696083,-0.2244807102621006,44
percent_bc_gt_75,"(-inf, 0.07)",32298,0.17544298021662846,0.09836522385287015,0.3314017317617872,-0.4355497752934559,49
percent_bc_gt_75,"[0.07, 29.70)",24804,0.13473551555183766,0.11010320915981293,0.20556682331847442,-0.4355497752934559,48
percent_bc_gt_75,"[29.70, 35.50)",13550,0.07360370245635382,0.12317343173431734,0.07859536444741999,-0.4355497752934559,46
percent_bc_gt_75,"[35.50, 52.30)",31950,0.17355264158527708,0.13248826291079813,-0.00498549453110142,-0.4355497752934559,45
percent_bc_gt_75,"[52.30, 69.60)",22995,0.12490901387334731,0.14394433572515763,-0.10121174134230304,-0.4355497752934559,44
percent_bc_gt_75,"[69.60, 81.50)",15321,0.08322378784751268,0.1537105933033092,-0.1783306570646095,-0.4355497752934559,43
percent_bc_gt_75,"[81.50, inf)",41307,0.2243799363368714,0.1580119592320914,-0.21102538707597596,-0.4355497752934559,42
percent_bc_gt_75,Missing,1869,0.010152422132171608,0.1514178705189941,-0.16059697179747667,-0.4355497752934559,43
mo_sin_rcnt_tl,"(-inf, 1.50)",18010,0.097830456179995,0.16896168795113825,-0.2911165697168563,-0.742162814894281,39
mo_sin_rcnt_tl,"[1.50, 2.50)",19075,0.10361554423283757,0.1546002621231979,-0.18515372991934131,-0.742162814894281,41
mo_sin_rcnt_tl,"[2.50, 4.50)",35409,0.1923419557400024,0.1467141122313536,-0.12351170777869003,-0.742162814894281,42
mo_sin_rcnt_tl,"[4.50, 5.50)",14430,0.0783838691103458,0.1363825363825364,-0.03845426085706394,-0.742162814894281,44
mo_sin_rcnt_tl,"[5.50, 7.50)",24730,0.1343335469922974,0.1286291953093409,0.029013322644734663,-0.742162814894281,46
mo_sin_rcnt_tl,"[7.50, 13.50)",42833,0.2326691798754984,0.11897368851119464,0.11806465090595042,-0.742162814894281,48
mo_sin_rcnt_tl,"[13.50, 19.50)",15096,0.08200158614620792,0.10254372019077901,0.2851546834389578,-0.742162814894281,51
mo_sin_rcnt_tl,"[19.50, inf)",14511,0.07882386172281552,0.08993177589414926,0.43034775464869046,-0.742162814894281,54
mo_sin_old_rev_tl_op,"(-inf, 77.50)",16454,0.08937825241452736,0.18700619910052266,-0.4145387583754878,-0.4217212360295204,40
mo_sin_old_rev_tl_op,"[77.50, 94.50)",12888,0.07000771345073713,0.15844196151458723,-0.21425384767263744,-0.4217212360295204,43
mo_sin_old_rev_tl_op,"[94.50, 119.50)",21390,0.1161906417373733,0.1461430575035063,-0.11894279912082295,-0.4217212360295204,44
mo_sin_old_rev_tl_op,"[119.50, 143.50)",22099,0.12004193509837366,0.13616000724014662,-0.03656363625928449,-0.4217212360295204,45
mo_sin_old_rev_tl_op,"[143.50, 153.50)",9867,0.0535976186078851,0.12840782405999798,0.0309898255714276,-0.4217212360295204,46
mo_sin_old_rev_tl_op,"[153.50, 203.50)",41802,0.22706878007974188,0.12351083680206688,0.07547496461051661,-0.4217212360295204,46
mo_sin_old_rev_tl_op,"[203.50, 227.50)",13932,0.07567872934479125,0.12180591444157336,0.09131823429351327,-0.4217212360295204,46
mo_sin_old_rev_tl_op,"[227.50, inf)",45662,0.24803632926657035,0.1073978362752398,0.23348046445427695,-0.4217212360295204,48
inq_last_6mths,"(-inf, 0.50)",97379,0.5289634643171424,0.11570256420788877,0.14965019901343402,-0.7805880459534154,48
